#{"t_start": 1778803850.4670432, "env_id": "None"}
r,l,t
94.389185,1246,38805.515477
25.522736,172,38824.196053
96.320395,1500,38978.142397
58.972138,248,39004.512967
27.107824,165,39022.515326
127.607292,423,39066.634349
50.64159,361,39104.475914
110.500143,388,39145.050222
31.68535,181,39164.669643
102.988823,1500,39318.227598
28.940891,176,39337.378475
87.619129,878,39428.355862
44.826829,1500,39581.848961
50.995656,262,39609.668195
38.090148,213,39632.558009
192.60822,1500,39785.679193
31.319438,219,39809.870284
52.182596,268,39838.293565
134.595843,1420,39983.822551
24.864525,461,40031.831869
12.024699,134,40046.686717
35.75296,204,40068.641912
9.01215,126,40082.704825
56.956357,518,40136.431538
127.430482,506,40188.932416
-84.724429,1500,40342.960187
41.715304,208,40365.320796
124.455611,477,40414.900813
119.676444,400,40456.66193
34.763912,187,40476.878519
33.551803,208,40499.21078
59.121186,338,40534.719328
139.04304,612,40597.955544
34.427428,207,40620.208323
8.667057,95,40631.115608
28.379571,680,40701.984035
139.983934,585,40762.528858
29.283223,177,40781.75965
4.0305,160,40799.23666
32.201603,182,40818.988626
28.020762,162,40836.68823
44.536987,201,40858.308823
40.706822,225,40882.389075
137.865847,630,40947.495123
23.175604,145,40963.471783
41.219444,221,40987.159814
-29.134595,1500,41141.008084
8.204679,277,41170.308227
27.972975,201,41191.949828
62.957193,1500,41345.185159
27.548048,193,41366.025812
130.861934,1500,41519.842586
29.447122,226,41544.039681
37.04717,177,41563.237663
120.355007,787,41644.217918
52.782241,300,41675.87439
82.4035,443,41722.004956
149.01157,1237,41848.579357
103.85262,735,41925.059844
87.996967,499,41976.896848
177.777478,1265,42106.305722
10.646705,135,42121.238077
93.398016,970,42220.849285
33.491858,406,42263.286246
191.361914,1500,42417.09148
150.222466,681,42486.158889
211.642249,1500,42639.449038
44.753111,254,42666.417504
124.525627,414,42709.621351
34.438742,265,42737.734776
88.895402,506,42791.121923
58.715974,254,42818.154925
109.124062,345,42854.393646
128.262159,566,42912.996447
32.195569,191,42933.617767
